,id,trade_date,payment_date,account,trade_type,asset_id,quantity,price,commission,other_charges,trade_comments
353,531,2021-08-16,,IB,Trade,700 AUG30'21 540 Call,-10.0,1.92,48.0,,
354,532,2021-08-18,,IB,Trade,700 Sep29'21 400 Put,50.0,11.5,265.0,,
355,533,2021-08-18,,IB,Trade,700 Sep29'21 400 Put,50.0,11.3,263.0,,
356,534,2021-08-18,,IB,Trade,700 Sep29'21 490 Call,-50.0,10.0,250.0,,
357,535,2021-08-18,,ms_terry,Trade,XS2218385057,1.0,300000.0,,,
358,536,2021-08-19,,AJ,Transfer,0700.HK,-18684.0,436.2,,,
359,537,2021-08-19,,IB,Transfer,0700.HK,18684.0,436.2,,,
360,538,2021-08-20,,IB,Trade,3690 Sep29'21 240 Call,-5.0,4.8,39.0,,
361,539,2021-08-20,,IB,Trade,3690 Sep29'21 240 Call,-10.0,4.85,78.5,,
362,540,2021-08-18,,ms_terry,Trade,XS2288738375,-1.0,300000.0,-4644.9,,
363,541,2021-08-12,,老洪,Income,AAPL,,,-158.16,,
364,542,2021-08-19,,老洪,Income,XS1987564660,,,-3750.0,,
365,543,2021-08-19,,老洪,Trade,XS1987564660,-1.0,300000.0,,,
366,544,2021-08-19,,老洪,Trade,9988.HK,10836.0,215.384,,,
367,545,2021-08-19,,老洪,Expense,9988.HK,,,289.11,,
368,546,2021-08-20,,IB,Trade,TSLA,100.0,680.0,1.0,,
369,547,2021-08-23,,老洪,Income,XS2218393317,,,-2481.25,,
370,548,2021-08-19,,ms_terry,Trade,XS2298837985,1.0,300000.0,,,
371,549,2021-08-19,,ms_terry,Trade,XS2295806553,1.0,300000.0,,,
372,550,2021-08-23,,摩根,Transfer,0700.HK,-2000.0,425.4,,,
373,551,2021-08-23,,IB,Transfer,0700.HK,2000.0,425.4,,,
374,552,2021-08-30,,IB,Trade,1177 Aug30'21 8.75 Call,18.0,,,,
375,553,2021-08-30,,IB,Trade,700 AUG30'21 540 Call,10.0,,,,
376,554,2021-09-02,,IB,Trade,3690 Sep29'21 245 Put,-15.0,9.5,187.5,,
377,555,2021-09-02,,IB,Trade,700 Sep29'21 400 Put,-1.0,0.98,21.0,,
378,556,2021-09-02,,IB,Trade,700 Sep29'21 470 Put,-50.0,7.0,220.0,,
379,557,2021-09-02,,IB,Trade,700 Sep29'21 490 Put,-50.0,13.0,280.0,,
380,558,2021-09-03,,IB,Expense,2269.HK,,,385.03,,卖空股票利息
381,559,2021-08-13,,IB,Expense,EDU,,,517.6,,
382,560,2021-09-06,,IB,Trade,2269.HK,4000.0,119.0,380.8,631.85,
383,561,2021-09-03,,ms_terry,Income,LU0539801802,,,-485.35,,
384,562,2021-09-07,,IB,Trade,AAPL,-4389.0,155.7,25.95246423,,
385,563,2021-09-07,,IB,Trade,AMZN,-249.0,3494.0,5.7116616,,
386,564,2021-09-07,,IB,Trade,ASML,-348.0,862.0,3.3112896,,
387,565,2021-09-07,,IB,Trade,FB,-2821.0,376.0,19.8502486,,
388,566,2021-09-07,,IB,Trade,GOOG,-206.0,2905.0,4.106507,,
389,567,2021-09-07,,IB,Trade,GOOGL,-80.0,2886.0,2.187008,,
390,568,2021-09-07,,IB,Trade,IBUY,-3128.0,117.0,17.8787096,,
391,569,2021-09-07,,IB,Trade,ISRG,-267.0,1070.0,2.823792,,
392,570,2021-09-07,,IB,Trade,LAIX,5000.0,1.01,25.0,,
393,571,2021-09-07,,IB,Trade,LAIX,5000.0,1.01,25.0,,
394,572,2021-09-07,,IB,Trade,MSFT,-1929.0,300.0,12.825921,,
395,573,2021-09-07,,IB,Trade,3690 Sep29'21 240 Put,-5.0,6.6,48.0,,
396,574,2021-09-07,,IB,Trade,AMZN Sep24'21 3270 Put,-2.0,8.5,1.41697,,
397,575,2021-09-07,,IB,Trade,JMIA Sep24'21 20 Put,-10.0,0.88,2.845988,,
398,576,2021-09-07,,IB,Trade,TCOM Dec17'21 41 Call,-10.0,0.75,7.045325,,
399,577,2021-09-07,,IB,Trade,TSLA Sep17'21 680 Put,-2.0,3.8,1.392176,,
400,578,2021-09-08,,IB,Trade,1024.HK,1000.0,101.0,215.527,,
401,579,2021-09-08,,IB,Trade,1024.HK,1000.0,100.5,214.1135,,
402,580,2021-09-08,,IB,Trade,0700.HK,500.0,522.0,555.847,,
403,581,2021-09-08,,IB,Trade,0700.HK,3000.0,521.0,3324.601,,
404,582,2021-09-08,,IB,Trade,0700.HK,500.0,520.0,555.02,,
405,583,2021-09-08,,IB,Trade,0700.HK,500.0,520.0,553.02,,
406,584,2021-09-07,,ms_terry,Income,LU2295180033,,,-5377.5,,
407,585,2021-09-07,,ms_terry,Income,XS2313836541,,,-5000.1,,
408,586,2021-09-08,,老洪,Trade,AAPL,-514.0,156.99,605.61,,
409,587,2021-09-08,,老洪,Trade,AMZN,-20.0,3511.65,527.11,,
410,588,2021-09-08,,老洪,Trade,ARKF,-98.0,54.39,100.03,,
411,589,2021-09-08,,老洪,Trade,ARKG,-119.0,85.47,100.03,,
412,590,2021-09-08,,老洪,Trade,ARKQ,-118.0,85.35,100.04,,
413,591,2021-09-08,,老洪,Trade,FB,-265.0,380.03,755.82,,
414,592,2021-09-08,,老洪,Trade,GOOG,-30.0,2907.87,654.71,,
415,593,2021-09-08,,老洪,Trade,MSFT,-258.0,299.8,580.5,,
416,594,2021-09-08,,IB,Trade,BABA,500.0,172.0,2.5,,
417,595,2021-09-08,,IB,Trade,BABA,500.0,171.0,2.5,,
418,596,2021-09-08,,IB,Trade,KWEB,10000.0,54.2,50.0,,
419,597,2021-09-08,,IB,Trade,KWEB,2000.0,53.8,10.0,,
420,598,2021-09-08,,IB,Trade,NTES,1000.0,92.0,5.0,,
421,599,2021-09-08,,IB,Trade,LAIX,5000.0,0.96,25.0,,
422,600,2021-09-08,,ms_terry,Income,XS2297748753,,,-5137.5,,
423,601,2021-09-08,,ms_terry,Income,XS2354653458,,,-3062.4,,
424,602,2021-09-09,,IB,Trade,3690.HK,2000.0,248.0,1057.192,,
425,603,2021-09-09,,IB,Trade,700 Sep29'21 450 Put,-20.0,4.9,79.6000000000004,,
426,604,2021-09-09,,IB,Trade,700 Sep29'21 450 Put,-20.0,5.0,80.0,,
427,605,2021-09-09,,IB,Trade,700 Sep29'21 480 Put,-50.0,8.5,235.0,,
428,606,2021-09-09,,IB,Income,MSFT,,,-756.17,,
429,607,2021-09-09,,ms_terry,Trade,XS2294208363,-1.0,300000.0,-3750.0,,
430,608,2021-09-09,,ms_terry,Trade,XS2369993436,1.0,300000.0,,,
431,609,2021-09-09,,ms_HQ896,Trade,XS2319880501,1.0,500000.0,,,
432,610,2021-09-09,,ms_terry,Income,XS2313823994,,,-10870.2,,
433,611,2021-09-09,,老洪,Income,MSFT,,,-202.27,,
434,612,2021-09-13,,IB,Trade,0410.HK,-60000.0,2.24,286.15,,
435,613,2021-09-13,,AJ,Income,1565.HK,,,-25515.55,,
436,614,2021-09-13,,ms_terry,Income,SMSN,,,-821.65,,
437,615,2021-09-15,,ms_terry,Income,SMSN,,,-793.76,,
438,616,2021-09-16,,ms_terry,Income,XS2218385057,,,-3275.1,,
439,617,2021-09-17,,IB,Trade,ARKQ Sep17'21 70 Put,25.0,,,,
440,618,2021-09-17,,IB,Trade,MSFT Sep17'21 225 Put,5.0,,,,
441,619,2021-09-17,,IB,Trade,SHOP Sep17'21 980 Put,1.0,,,,
442,620,2021-09-17,,IB,Trade,TSLA Sep17'21 550 Put,3.0,,,,
443,621,2021-09-17,,IB,Trade,TSLA Sep17'21 680 Put,2.0,,,,
444,622,2021-09-17,,IB,Expense,TCOM,,,58.0,,
445,623,2021-09-17,,IB,Expense,GOTU,,,198.64,,
446,624,2021-09-17,,ms_terry,Income,LU0898699433,,,-553.06,,
447,625,2021-09-20,,IB,Trade,NVDA,-1333.0,209.0,8.24,,
448,626,2021-09-21,,ms_terry,Income,XS2218322217,,,-2906.8,,
449,627,2021-09-22,,ms_terry,Income,XS2359586190,,,-4040.01,,
450,628,2021-09-23,,老洪,Income,XS2218393317,,,-2481.25,,
451,629,2021-09-23,,IB,Income,NVDA,,,-37.32,,
452,630,2021-09-27,,IB,Trade,AMZN Sep24'21 3270 Put,2.0,,,,
453,631,2021-09-27,,IB,Trade,JMIA Sep24'21 20 Put,10.0,,,,
454,632,2021-09-27,,IB,Trade,JMIA,1000.0,20.0,,,
455,633,2021-09-27,,ms_terry,Trade,0700.HK,225.0,391.7109,136.0,,
456,634,2021-09-29,,IB,Trade,3690 Sep29'21 200 Put,14.0,,,,
457,635,2021-09-29,,IB,Trade,3690 Sep29'21 240 Call,15.0,,,,
458,636,2021-09-29,,IB,Trade,3690 Sep29'21 240 Put,5.0,,,,
459,637,2021-09-29,,IB,Trade,3690 Sep29'21 245 Put,15.0,,,,
460,638,2021-09-29,,IB,Trade,700 Sep29'21 400 Put,-99.0,,,,
461,639,2021-09-29,,IB,Trade,700 Sep29'21 450 Put,40.0,,,,
462,640,2021-09-29,,IB,Trade,700 Sep29'21 470 Put,50.0,,,,
463,641,2021-09-29,,IB,Trade,700 Sep29'21 480 Put,50.0,,,,
464,642,2021-09-29,,IB,Trade,700 Sep29'21 490 Call,50.0,,,,
465,643,2021-09-29,,IB,Trade,700 Sep29'21 490 Put,50.0,,,,
466,644,2021-09-29,,IB,Trade,9618 Sep29'21 235 Put,9.0,,,,
467,645,2021-09-29,,IB,Trade,9618 Sep29'21 250 Put,10.0,,,,
468,646,2021-09-29,,IB,Trade,9618 Sep29'21 260 Put,12.0,,,,
469,647,2021-09-29,,IB,Trade,3690.HK,-7500.0,240.0,3955.1,,
470,648,2021-09-29,,IB,Trade,0700.HK,5000.0,490.0,5383.15,,
471,649,2021-09-29,,IB,Trade,0700.HK,5000.0,480.0,5273.3,,
472,650,2021-09-29,,IB,Trade,0700.HK,5000.0,470.0,5163.45,,
473,651,2021-09-29,,ms_terry,Trade,XS2295806553,-1.0,300000.0,-2490.0,,
474,652,2021-09-29,,ms_terry,Trade,XS2279291384,-1.0,300000.0,-5189.01,,
475,653,2021-09-29,,ms_terry,Trade,BABA,1572.0,190.84,-0.48,,
476,654,2021-09-29,,ms_terry,Income,XS2298837985,,,-10892.4,,
477,655,2021-09-30,,IB,Trade,3690.HK,1000.0,246.0,523.44,,
478,656,2021-09-30,,IB,Trade,3690.HK,500.0,246.6,265.97,,
479,657,2021-09-30,,IB,Trade,3690.HK,500.0,246.0,261.72,,
480,658,2021-09-30,,IB,Trade,3690.HK,100.0,246.0,52.34,,
481,663,2021-09-30,,IB,Trade,3690.HK,1000.0,246.6,525.94,,
482,664,2021-09-30,,IB,Trade,3690.HK,1000.0,246.2,524.61,,
483,665,2021-09-30,,IB,Trade,3690.HK,1500.0,245.6,784.67,,
484,666,2021-09-30,,IB,Income,NTES,,,-237.5,,
485,667,2021-10-04,,IB,Trade,SCO,1500.0,14.2,7.5,,
486,668,2021-10-05,,AJ,Income,1177.HK,,,-6069.5,,
487,669,2021-10-06,,ms_terry,Income,LU2295180033,,,-5377.5,,
488,670,2021-10-06,,ms_terry,Income,XS2313836541,,,-5000.1,,
489,671,2021-10-07,,ms_terry,Income,LU0539801802,,,-485.35,,
490,672,2021-10-07,,ms_terry,Income,XS2297748753,,,-5137.5,,
491,673,2021-10-07,,ms_terry,Income,XS2313823994,,,-10870.2,,
492,674,2021-10-08,,IB,Trade,3690 Oct28'21 235 Put,-100.0,6.0,900.0,,
493,675,2021-10-08,,IB,Trade,SCO,3000.0,13.49,15.0,,
494,676,2021-10-08,,IB,Trade,KWEB,,,-60.0,,
495,677,2021-10-08,,ms_terry,Income,XS2354653458,,,-3062.4,,
496,678,2021-10-08,,老洪,Expense,GOTU,,,32.0,,
497,679,2021-10-11,,IB,Trade,BABA 29OCT21 155.0 P,-10.0,3.5,6.86135,,
